age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
30,unemployed,married,primary,no,1787,no,no,cellular,19.0,oct,79,1.0,-1,0,unknown,0
33,services,married,secondary,no,4789,yes,yes,cellular,11.0,may,220,,339,4,failure,0
35,management,single,tertiary,no,1350,yes,no,cellular,,apr,185,1.0,330,1,failure,0
30,management,,tertiary,no,1476,yes,yes,unknown,3.0,jun,199,4.0,-1,0,unknown,0
59,blue-collar,married,secondary,no,0,yes,no,unknown,5.0,may,226,1.0,-1,0,unknown,0
35,management,single,tertiary,no,747,no,no,cellular,23.0,feb,141,2.0,176,3,failure,0
36,self-employed,married,tertiary,no,307,yes,no,cellular,14.0,may,341,1.0,330,2,other,0
39,technician,married,secondary,no,147,yes,no,cellular,6.0,may,151,2.0,-1,0,unknown,0
41,entrepreneur,married,tertiary,no,221,yes,no,unknown,14.0,may,57,2.0,-1,0,unknown,0
43,services,married,primary,no,-88,yes,yes,cellular,17.0,apr,313,1.0,147,2,failure,0
39,services,married,secondary,no,9374,yes,no,unknown,20.0,may,273,1.0,-1,0,unknown,0
43,admin.,married,secondary,no,264,yes,no,cellular,17.0,apr,113,2.0,-1,0,unknown,0
36,technician,married,tertiary,no,1109,no,no,cellular,13.0,aug,328,2.0,-1,0,unknown,0
20,student,single,secondary,no,502,no,no,cellular,30.0,apr,261,1.0,-1,0,unknown,1
31,blue-collar,married,secondary,no,360,yes,yes,cellular,29.0,jan,89,1.0,241,1,failure,0
40,management,married,tertiary,no,194,no,yes,cellular,29.0,aug,189,2.0,-1,0,unknown,0
56,technician,married,secondary,no,4073,no,no,cellular,27.0,aug,239,5.0,-1,0,unknown,0
37,admin.,single,tertiary,no,2317,yes,no,cellular,20.0,apr,114,1.0,152,2,failure,0
25,blue-collar,single,primary,no,-221,yes,no,unknown,23.0,may,250,1.0,-1,0,unknown,0
31,services,married,secondary,no,132,no,no,cellular,7.0,jul,148,1.0,152,1,other,0
38,management,divorced,unknown,no,0,yes,no,cellular,18.0,nov,96,2.0,-1,0,unknown,0
42,management,divorced,tertiary,no,16,no,no,cellular,19.0,nov,140,3.0,-1,0,unknown,0
44,services,single,secondary,no,106,no,no,unknown,12.0,jun,109,2.0,-1,0,unknown,0
44,entrepreneur,married,secondary,no,93,no,no,cellular,7.0,jul,125,2.0,-1,0,unknown,0
26,housemaid,married,tertiary,no,543,no,no,cellular,30.0,jan,169,3.0,-1,0,unknown,0
41,management,married,tertiary,no,5883,no,no,cellular,20.0,nov,182,2.0,-1,0,unknown,0
55,blue-collar,married,primary,no,627,yes,no,unknown,5.0,may,247,1.0,-1,0,unknown,0
67,retired,married,unknown,no,696,no,no,telephone,17.0,aug,119,1.0,105,2,failure,0
56,self-employed,married,secondary,no,784,no,yes,cellular,30.0,jul,149,2.0,-1,0,unknown,0
53,admin.,married,secondary,no,105,no,yes,cellular,21.0,aug,74,2.0,-1,0,unknown,0
68,retired,divorced,secondary,no,4189,no,no,telephone,14.0,jul,897,2.0,-1,0,unknown,1
31,technician,married,secondary,no,171,no,no,cellular,27.0,aug,81,3.0,-1,0,unknown,0
59,management,married,secondary,no,42,no,no,cellular,21.0,nov,40,1.0,-1,0,unknown,0
32,management,single,tertiary,no,2536,yes,no,cellular,26.0,aug,958,6.0,-1,0,unknown,1
49,technician,married,tertiary,no,1235,no,no,cellular,13.0,aug,354,3.0,-1,0,unknown,1
42,admin.,divorced,secondary,no,1811,yes,no,unknown,14.0,may,150,1.0,-1,0,unknown,0
